prompt_name,premise_1,premise_2,conjunction,conjunction_type,constructed_sentence
Exploring Venus,Scientists investigate Venus' runaway greenhouse effect,as its atmosphere traps solar radiation under thick carbon dioxide clouds.,as,causal,Scientists investigate Venus' runaway greenhouse effect as as its atmosphere traps solar radiation under thick carbon dioxide clouds.
Exploring Venus,"Given that extreme surface temperatures melt common metals,",probe electronics require active cooling mechanisms.,Given that,causal,"Given that extreme surface temperatures melt common metals, probe electronics require active cooling mechanisms."
Exploring Venus,Planetary geologists study Venusian volcanoes,because tectonic activity provides clues about mantle heat flow.,because,causal,Planetary geologists study Venusian volcanoes because because tectonic activity provides clues about mantle heat flow.
Exploring Venus,"Although Venus presents an extraordinarily hostile environment,",scientific interest in its atmospheric evolution remains high.,Although,concession,"Although Venus presents an extraordinarily hostile environment, scientific interest in its atmospheric evolution remains high."
Exploring Venus,"Orbital radar mapping reveals detailed surface topography,",even though dense sulfur clouds obscure direct optical observation.,even though,concession,"Orbital radar mapping reveals detailed surface topography, even though even though dense sulfur clouds obscure direct optical observation."
Exploring Venus,"While solar probes operate efficiently near Mercury,",exploring the lower atmosphere of Venus requires heavy radiation armor.,While,concession,"While solar probes operate efficiently near Mercury, exploring the lower atmosphere of Venus requires heavy radiation armor."
Exploring Venus,"Despite past lander missions lasting only a few hours,",they transmitted priceless data regarding Venusian surface chemistry.,Despite,concession,"Despite past lander missions lasting only a few hours, they transmitted priceless data regarding Venusian surface chemistry."
Exploring Venus,"Mars receives extensive rover exploration budgets,",whereas Venus exploration requires specialized high-pressure hardware.,whereas,concession,"Mars receives extensive rover exploration budgets, whereas whereas Venus exploration requires specialized high-pressure hardware."
Exploring Venus,"Although Venus presents an extraordinarily hostile environment,",scientific interest in its atmospheric evolution remains high.,Although,concession,"Although Venus presents an extraordinarily hostile environment, scientific interest in its atmospheric evolution remains high."
Exploring Venus,"Orbital radar mapping reveals detailed surface topography,",even though dense sulfur clouds obscure direct optical observation.,even though,concession,"Orbital radar mapping reveals detailed surface topography, even though even though dense sulfur clouds obscure direct optical observation."
Exploring Venus,"While solar probes operate efficiently near Mercury,",exploring the lower atmosphere of Venus requires heavy radiation armor.,While,concession,"While solar probes operate efficiently near Mercury, exploring the lower atmosphere of Venus requires heavy radiation armor."
Exploring Venus,"Despite past lander missions lasting only a few hours,",they transmitted priceless data regarding Venusian surface chemistry.,Despite,concession,"Despite past lander missions lasting only a few hours, they transmitted priceless data regarding Venusian surface chemistry."
Exploring Venus,"Mars receives extensive rover exploration budgets,",whereas Venus exploration requires specialized high-pressure hardware.,whereas,concession,"Mars receives extensive rover exploration budgets, whereas whereas Venus exploration requires specialized high-pressure hardware."
Exploring Venus,"If space agencies develop heat-resistant alloys,",surface probes on Venus can survive extreme atmospheric pressures.,If,conditional,"If space agencies develop heat-resistant alloys, surface probes on Venus can survive extreme atmospheric pressures."
Exploring Venus,Scientists can uncover early planetary history,provided that orbital radar missions successfully map Venusian terrain.,provided that,conditional,Scientists can uncover early planetary history provided that provided that orbital radar missions successfully map Venusian terrain.
Exploring Venus,"Unless thermal shielding technology improves,",robotic rovers cannot withstand the surface temperatures of Venus.,Unless,conditional,"Unless thermal shielding technology improves, robotic rovers cannot withstand the surface temperatures of Venus."
Exploring Venus,Spacecraft can analyze the Venusian cloud layer,as long as atmospheric sensors operate above toxic sulfuric acid zones.,as long as,conditional,Spacecraft can analyze the Venusian cloud layer as long as as long as atmospheric sensors operate above toxic sulfuric acid zones.
Exploring Venus,"Whether Venus once harbored liquid water,",studying its planetary evolution provides crucial climate insights.,Whether,conditional,"Whether Venus once harbored liquid water, studying its planetary evolution provides crucial climate insights."
